Date,Time,Location,Temperature,Wind Speed,Wind Degree,Pressure,Precipitation,Weather Description,Humidity,Cloud Cover,Feels Like,UV Index
12/17/2024,15:17:43,New Delhi,23,4,86,1015,0,Smoke,41,0,23,2
12/17/2024,15:17:43,Mumbai,26,15,308,1010,0,Sunny,38,0,26,3
12/17/2024,15:17:44,Chennai,26,34,351,1008,0.5,Mist,74,75,29,1
12/17/2024,15:17:45,Kolkata,27,9,328,1012,0,Haze,42,25,26,1
12/17/2024,15:17:46,Bangalore,28,9,20,1013,0,Partly cloudy,62,50,28,3
12/17/2024,23:58:11,New Delhi,17,4,10,1017,0,Clear ,24,0,17,0
12/17/2024,23:58:12,Mumbai,24,8,18,1012,0,Smoke,57,0,26,0
12/17/2024,23:58:13,Chennai,24,29,345,1011,0.3,Mist,83,75,27,0
12/17/2024,23:58:14,Kolkata,20,8,336,1014,0,Mist,68,50,20,0
12/17/2024,23:58:15,Bangalore,22,12,26,1017,0,Mist,83,25,25,0
12/18/2024,0:24:33,Hyderabad,18,4,48,1013,0,Clear ,36,0,18,0
12/18/2024,0:24:35,Ahmedabad,18,10,12,1013,0,Smoke,49,0,18,0
12/18/2024,0:24:37,Pune,17,4,121,1013,0,Clear ,30,0,17,0
12/18/2024,0:24:39,Jaipur,13,8,52,1017,0,Haze,62,0,13,0
12/18/2024,0:24:44,Lucknow,14,6,323,1015,0,Clear ,34,0,14,0
12/18/2024,0:24:46,Patna,16,6,299,1015,0,Mist,94,0,16,0
12/18/2024,0:24:51,Bhopal,15,8,65,1016,0,Haze,44,0,15,0
12/18/2024,0:24:54,Surat,21,13,26,1012,0,Clear ,38,0,21,0
12/18/2024,0:24:58,Visakhapatnam,25,18,39,1013,0,Overcast ,77,93,27,0
12/18/2024,0:25:00,Chandigarh,11,5,23,1017,0,Clear ,37,3,10,0
12/18/2024,0:25:02,Coimbatore,24,7,252,1014,0,Mist,83,25,26,0
12/18/2024,0:25:04,Guwahati,15,4,104,1014,0,Mist,94,25,15,0
12/18/2024,0:25:06,Thiruvananthapuram,28,5,350,1011,1,Mist,79,75,34,0
12/18/2024,0:25:07,Indore,14,9,86,1016,0,Haze,67,0,14,0
12/18/2024,0:25:09,Nagpur,15,9,19,1015,0,Haze,63,0,15,0
12/18/2024,0:25:14,Vadodara,20,9,13,1013,0,Clear ,31,0,20,0
12/18/2024,0:25:25,Ludhiana,9,6,336,1018,0,Clear ,22,3,9,0
12/18/2024,0:25:32,Agra,13,6,344,1016,0,Clear ,30,0,13,0
12/18/2024,0:25:34,Meerut,14,6,344,1017,0,Clear ,36,0,15,0
12/18/2024,0:25:35,Rajkot,19,12,22,1013,0,Clear ,22,0,19,0
12/18/2024,0:25:36,Varanasi,14,4,209,1015,0,Clear ,41,0,14,0
12/18/2024,0:25:37,Srinagar,-3,4,23,1028,0,Partly Cloudy ,29,37,-3,0
12/18/2024,0:25:38,Aurangabad,15,8,70,1015,0,Haze,72,0,15,0
12/18/2024,0:25:39,Dhanbad,16,7,326,1014,0,Clear ,43,0,16,0
12/18/2024,0:25:39,Amritsar,7,5,2,1018,0,Mist,87,0,6,0
12/18/2024,0:25:41,Allahabad,15,4,84,1016,0,Clear ,35,0,15,0
12/18/2024,0:25:42,Jodhpur,13,17,43,1016,0,Clear ,17,0,12,0
12/18/2024,0:25:43,Ranchi,11,6,334,1018,0,Mist,82,0,11,0
12/18/2024,0:25:44,Madurai,26,4,334,1011,0,Mist,89,25,28,0
12/18/2024,12:52:49,Hyderabad,28,10,7,1015,0,Haze,28,0,27,7
12/18/2024,12:52:51,Ahmedabad,25,11,91,1013,0,Smoke,36,0,24,6
12/18/2024,12:52:53,Pune,26,9,99,1012,0,Sunny,19,0,25,7
12/18/2024,12:52:54,Jaipur,22,6,134,1014,0,Sunny,17,1,22,4
12/18/2024,12:52:56,Lucknow,23,6,291,1014,0,Sunny,21,0,23,4
12/18/2024,12:52:59,Patna,26,5,305,1012,0,Sunny,27,0,25,3
12/18/2024,12:53:00,Bhopal,22,8,75,1017,0,Haze,33,0,22,6
12/18/2024,12:53:00,Surat,28,4,117,1011,0,Sunny,25,0,27,6
12/18/2024,12:53:01,Visakhapatnam,26,25,55,1010,0.1,Patchy rain nearby,64,100,28,5
12/18/2024,12:53:01,Chandigarh,22,7,262,1015,0,Sunny,18,3,22,3
12/18/2024,12:53:02,Coimbatore,31,4,123,1012,0,Haze,46,25,33,9
12/18/2024,12:53:03,Guwahati,23,12,58,1012,0,Haze,61,25,24,4
12/18/2024,12:53:04,Thiruvananthapuram,32,12,286,1009,0,Haze,67,50,36,10
12/18/2024,12:53:05,Indore,25,8,103,1016,0,Sunny,36,0,24,6
12/18/2024,12:53:09,Nagpur,25,8,39,1015,0,Haze,44,0,24,6
12/18/2024,12:53:10,Vadodara,28,8,76,1012,0,Sunny,20,0,26,6
12/18/2024,12:53:11,Ludhiana,22,8,270,1015,0,Sunny,13,0,22,3
12/18/2024,12:53:12,Agra,22,5,330,1015,0,Sunny,23,3,22,4
12/18/2024,12:53:14,Meerut,22,8,292,1015,0,Sunny,24,11,22,4
12/18/2024,12:53:15,Rajkot,26,10,4,1013,0,Sunny,14,0,24,6
12/18/2024,12:53:16,Varanasi,25,6,291,1014,0,Sunny,23,0,24,4
12/18/2024,12:53:17,Srinagar,6,4,283,1022,0,Overcast ,20,100,6,2
12/18/2024,12:53:19,Aurangabad,27,8,141,1015,0,Haze,48,0,26,6
12/18/2024,12:53:21,Dhanbad,26,10,358,1012,0,Sunny,22,0,24,5
12/18/2024,12:53:22,Amritsar,19,6,296,1017,0,Smoke,37,25,19,3
12/18/2024,12:53:23,Allahabad,24,5,305,1014,0,Sunny,22,0,23,5
12/18/2024,12:53:26,Jodhpur,24,15,80,1014,0,Sunny,16,2,23,5
12/18/2024,12:53:26,Ranchi,21,6,359,1017,0,Haze,46,0,21,5
12/18/2024,12:53:27,Madurai,32,4,321,1009,0,Haze,59,25,34,9
12/18/2024,15:51:39,Hyderabad,29,9,25,1013,0,Haze,29,0,28,2
